GISJOIN,AREANAME,PopTotal,White,NonWhite,WhiteNative,Black,MedHouseValue,MedGrossRent
G01007300001,STCTY-01073 TRACT-    0001     IN BIRMINGHAM AL,2792,2783,9,2771,9,2435,24.32
G01007300002,STCTY-01073 TRACT-    0002     IN BIRMINGHAM AL,1796,1767,29,1743,29,2444,22.65
G01007300003,STCTY-01073 TRACT-    0003     IN BIRMINGHAM AL,3935,3776,159,3754,159,2685,22.65
G01007300004,STCTY-01073 TRACT-    0004     IN BIRMINGHAM AL,4882,4144,738,4120,738,2284,19.66
G01007300005,STCTY-01073 TRACT-    0005     IN BIRMINGHAM AL,5960,4324,1636,4281,1636,1842,16.5
G01007300006,STCTY-01073 TRACT-    0006     IN BIRMINGHAM AL,3984,749,3235,735,3235,1402,12.09
G01007300007,STCTY-01073 TRACT-    0007     IN BIRMINGHAM AL,4937,92,4845,85,4845,1112,10.22
G01007300008,STCTY-01073 TRACT-    0008     IN BIRMINGHAM AL,7604,6279,1325,6180,1324,2390,18.24
G01007300009,STCTY-01073 TRACT-    0009     IN BIRMINGHAM AL,7296,1020,6276,948,6276,1750,11.93
G01007300010,STCTY-01073 TRACT-    0010     IN BIRMINGHAM AL,2403,1156,1247,1145,1247,1567,14.23
G01007300011,STCTY-01073 TRACT-    0011     IN BIRMINGHAM AL,5222,2402,2820,2299,2820,1290,11.98
G01007300012,STCTY-01073 TRACT-    0012     IN BIRMINGHAM AL,6597,3495,3102,3390,3102,1667,14.29
G01007300013,STCTY-01073 TRACT-    0013     IN BIRMINGHAM AL,2476,431,2045,423,2045,1939,13.44
G01007300014,STCTY-01073 TRACT-    0014     IN BIRMINGHAM AL,3747,125,3622,118,3622,1761,12.58
G01007300015,STCTY-01073 TRACT-    0015     IN BIRMINGHAM AL,8145,6779,1366,6468,1366,3015,23.69
G01007300016,STCTY-01073 TRACT-    0016     IN BIRMINGHAM AL,9138,8423,715,8177,715,4667,32.32
G01007300017,STCTY-01073 TRACT-    0017     IN BIRMINGHAM AL,2764,1858,906,1842,906,0,14.08
G01007300018,STCTY-01073 TRACT-    0018     IN BIRMINGHAM AL,6401,3585,2816,3545,2816,1801,14.83
G01007300019,STCTY-01073 TRACT-    0019     IN BIRMINGHAM AL,3274,2619,655,2566,655,2545,20.33
G01007300020,STCTY-01073 TRACT-    0020     IN BIRMINGHAM AL,2329,2155,174,2142,174,3000,28.32
G01007300021,STCTY-01073 TRACT-    0021     IN BIRMINGHAM AL,3982,3933,49,3907,48,2827,28.22
